quality,similarity,unique words,length ratio,negation,negation parity,unusual tokens,unusual ratio
No,0.774460,0.400000,0.294118,1,1,3,0.625000
Yes,0.811614,0.444444,0.090909,0,0,6,0.400000
No,0.796463,0.400000,0.333333,0,0,8,0.200000
Yes,0.699043,0.321429,0.105263,0,0,3,0.000000
Yes,0.692386,0.280000,0.210526,0,0,0,1.000000
Yes,0.929788,0.740741,0.041667,0,0,3,0.571429
No,0.730742,0.473684,0.333333,0,0,5,0.000000
Yes,0.975531,0.821429,0.000000,0,0,1,0.500000
No,0.840209,0.400000,0.421053,0,0,0,1.000000
Yes,0.920024,0.653846,0.192308,1,1,0,1.000000
No,0.916788,0.655172,0.450000,0,0,3,0.400000
Yes,0.770025,0.315789,0.076923,1,1,1,0.666667
No,0.763299,0.137931,0.058824,0,0,9,0.100000
Yes,0.873093,0.333333,0.263158,0,0,0,1.000000
No,0.659272,0.181818,0.266667,0,0,5,0.285714
Yes,0.800123,0.454545,0.217391,0,0,2,0.500000
Yes,0.925110,0.739130,0.200000,0,0,1,0.500000
No,0.755447,0.307692,0.300000,0,0,8,0.333333
No,0.904307,0.592593,0.500000,1,1,0,1.000000
Yes,0.615661,0.260870,0.416667,0,0,4,0.333333
No,0.759760,0.321429,0.466667,0,0,5,0.166667
Yes,0.840141,0.470588,0.076923,0,0,0,1.000000
No,0.851630,0.440000,0.312500,0,0,3,0.625000
No,0.820095,0.423077,0.052632,0,0,0,1.000000
Yes,0.830621,0.304348,0.055556,0,0,3,0.666667
Yes,0.934539,0.538462,0.041667,0,0,2,0.600000
Yes,0.875151,0.419355,0.076923,0,0,3,0.750000
Yes,0.949420,0.454545,0.000000,0,0,1,0.800000
Yes,0.813923,0.500000,0.133333,0,0,0,1.000000
Yes,0.786291,0.454545,0.111111,0,0,3,0.250000
Yes,0.890640,0.631579,0.125000,0,0,0,1.000000
No,0.809378,0.296296,0.250000,0,0,2,0.000000
Yes,0.908798,0.538462,0.160000,0,0,2,0.333333
Yes,0.958123,0.678571,0.120000,0,0,1,0.750000
Yes,0.913487,0.709677,0.037037,0,0,0,1.000000
Yes,0.816036,0.482759,0.238095,1,1,0,1.000000
Yes,0.848175,0.400000,0.187500,0,0,0,1.000000
Yes,0.895206,0.551724,0.043478,0,0,0,1.000000
No,0.741535,0.269231,0.052632,0,0,4,0.000000
Yes,0.891618,0.640000,0.100000,0,0,4,0.200000
No,0.831187,0.541667,0.444444,0,0,0,1.000000
Yes,0.831156,0.600000,0.047619,0,0,2,0.333333
Yes,0.809852,0.368421,0.312500,0,0,5,0.000000
Yes,0.713364,0.277778,0.090909,1,1,0,1.000000
No,0.809431,0.392857,0.210526,0,0,10,0.090909
No,0.794208,0.454545,0.437500,1,1,1,0.000000
Yes,0.760601,0.285714,0.454545,0,0,0,1.000000
Yes,0.838287,0.523810,0.117647,0,0,5,0.583333
Yes,0.848351,0.368421,0.142857,0,0,3,0.571429
Yes,0.842104,0.454545,0.038462,0,0,5,0.285714
Yes,0.751990,0.346154,0.400000,0,0,3,0.625000
Yes,0.783360,0.321429,0.000000,0,0,2,0.000000
No,0.596808,0.200000,0.153846,0,0,6,0.000000
Yes,0.753797,0.230769,0.074074,0,0,8,0.272727
No,0.738231,0.250000,0.142857,0,0,18,0.052632
No,0.931713,0.689655,0.080000,0,0,1,0.900000
No,0.912370,0.727273,0.227273,0,0,0,1.000000
Yes,0.688804,0.315789,0.230769,0,0,3,0.400000
Yes,0.764557,0.235294,0.000000,0,0,4,0.428571
Yes,0.983504,0.785714,0.000000,0,0,0,1.000000
No,0.812851,0.333333,0.346154,0,0,3,0.500000
Yes,0.761619,0.370370,0.111111,0,0,4,0.200000
Yes,0.945355,0.421053,0.500000,0,0,5,0.444444
No,0.706220,0.240000,0.176471,0,0,3,0.500000
Yes,0.901327,0.689655,0.000000,0,0,4,0.555556
Yes,0.731700,0.200000,0.083333,0,0,0,1.000000
Yes,0.814785,0.478261,0.210526,1,1,3,0.400000
Yes,0.730938,0.222222,0.000000,0,0,1,0.000000
Yes,0.795199,0.448276,0.090909,0,0,0,1.000000
No,0.798119,0.352941,0.090909,0,0,1,0.750000
Yes,0.749469,0.181818,0.235294,0,0,7,0.000000
No,0.742560,0.259259,0.333333,0,0,5,0.285714
No,0.690625,0.256410,0.000000,0,0,5,0.285714
Yes,0.859412,0.521739,0.187500,0,0,0,1.000000
Yes,0.962159,0.520000,0.000000,0,0,3,0.625000
No,0.739932,0.304348,0.066667,0,0,4,0.333333
No,0.830579,0.421053,0.230769,0,0,3,0.000000
No,0.828056,0.500000,0.444444,1,1,3,0.250000
Yes,0.807365,0.416667,0.266667,0,0,6,0.250000
No,0.836037,0.346154,0.000000,0,0,11,0.352941
Yes,0.847504,0.310345,0.210526,0,0,0,1.000000
No,0.609348,0.250000,0.105263,0,0,1,0.666667
Yes,0.789864,0.217391,0.142857,0,0,5,0.166667
Yes,0.852985,0.593750,0.111111,0,0,6,0.000000
Yes,0.860264,0.500000,0.000000,0,0,1,0.000000
No,0.734754,0.230769,0.000000,0,0,3,0.400000
Yes,0.811981,0.309524,0.035714,0,0,1,0.857143
Yes,0.718223,0.375000,0.444444,0,0,4,0.200000
Yes,0.844250,0.636364,0.052632,0,0,3,0.400000
Yes,0.881330,0.680000,0.142857,0,0,5,0.583333
Yes,0.781507,0.473684,0.125000,0,0,2,0.000000
Yes,0.942739,0.758621,0.142857,0,0,0,1.000000
Yes,0.678850,0.200000,0.142857,0,0,1,0.750000
Yes,1.000000,0.793103,0.000000,0,0,0,1.000000
Yes,0.911580,0.740741,0.107143,0,0,0,1.000000
Yes,0.906936,0.655172,0.107143,0,0,0,1.000000
No,0.807755,0.444444,0.050000,0,0,5,0.444444
Yes,0.792231,0.388889,0.208333,0,0,2,0.714286
Yes,0.804612,0.478261,0.055556,0,0,3,0.250000
Yes,0.712549,0.363636,0.235294,0,0,4,0.428571
Yes,0.831266,0.387097,0.296296,0,0,6,0.333333
No,0.786719,0.192308,0.277778,0,0,10,0.166667
Yes,0.946718,0.714286,0.333333,0,0,2,0.714286
Yes,0.956885,0.733333,0.037037,0,0,0,1.000000
No,0.731670,0.291667,0.277778,0,0,1,0.750000
No,0.653906,0.222222,0.263158,0,0,0,1.000000
Yes,0.857315,0.520000,0.533333,0,0,1,0.666667
No,0.831214,0.484848,0.076923,0,0,4,0.200000
No,0.745740,0.387097,0.269231,0,0,2,0.500000
No,0.647787,0.318182,0.133333,0,0,2,0.333333
Yes,0.922697,0.724138,0.000000,0,0,3,0.500000
No,0.850017,0.551724,0.368421,0,0,1,0.888889
No,0.732675,0.192308,0.222222,0,0,10,0.166667
No,0.830575,0.391304,0.058824,0,0,3,0.500000
Yes,0.938516,0.666667,0.153846,0,0,0,1.000000
Yes,0.752267,0.333333,0.333333,0,0,1,0.000000
No,0.871447,0.451613,0.000000,0,0,10,0.000000
Yes,0.779818,0.350000,0.294118,0,0,4,0.200000
No,0.707195,0.238095,0.375000,0,0,2,0.333333
No,0.770219,0.238095,0.142857,0,0,5,0.444444
Yes,0.915262,0.733333,0.035714,1,1,3,0.625000
Yes,0.783572,0.310345,0.142857,1,1,1,0.750000
Yes,0.913383,0.583333,0.263158,0,0,4,0.333333
Yes,0.652931,0.166667,0.000000,0,0,3,0.000000
No,0.636800,0.235294,0.100000,0,0,3,0.400000
No,0.687576,0.300000,0.363636,0,0,4,0.428571
No,0.737998,0.208333,0.066667,1,1,4,0.000000
Yes,0.921835,0.560000,0.222222,0,0,0,1.000000
Yes,0.940207,0.703704,0.000000,0,0,1,0.500000
Yes,0.885913,0.548387,0.074074,0,0,5,0.444444
Yes,0.726229,0.388889,0.307692,0,0,2,0.333333
Yes,0.700690,0.321429,0.000000,0,0,5,0.285714
No,0.780250,0.173913,0.076923,0,0,10,0.230769
Yes,0.731319,0.333333,0.272727,0,0,5,0.000000
Yes,0.872450,0.592593,0.045455,0,0,8,0.000000
No,0.806331,0.451613,0.272727,0,0,1,0.750000
Yes,0.937540,0.689655,0.076923,0,0,0,1.000000
Yes,0.763336,0.421053,0.076923,0,0,1,0.666667
No,0.875667,0.526316,0.062500,0,0,0,1.000000
Yes,0.794448,0.263158,0.153846,0,0,0,1.000000
Yes,0.938153,0.720000,0.086957,0,0,0,1.000000
Yes,0.820453,0.434783,0.062500,0,0,6,0.500000
Yes,0.808267,0.538462,0.346154,0,0,0,1.000000
Yes,0.977125,0.565217,0.117647,0,0,1,0.750000
Yes,0.851806,0.521739,0.411765,0,0,1,0.000000
Yes,0.965372,0.629630,0.000000,0,0,1,0.800000
Yes,0.876871,0.666667,0.000000,0,0,1,0.833333
Yes,0.659111,0.333333,0.000000,0,0,1,0.000000
No,0.801298,0.375000,0.058824,1,1,2,0.500000
No,0.866749,0.565217,0.142857,0,0,3,0.666667
Yes,0.900887,0.750000,0.038462,0,0,3,0.571429
No,0.840026,0.448276,0.470588,0,0,8,0.428571
Yes,0.871454,0.560000,0.130435,0,0,1,0.666667
Yes,0.875512,0.680000,0.350000,0,0,5,0.285714
Yes,0.855694,0.555556,0.250000,0,0,5,0.375000
Yes,0.761478,0.294118,0.000000,0,0,1,0.500000
No,0.599156,0.107143,0.266667,0,0,1,0.800000
Yes,0.951019,0.592593,0.100000,0,0,2,0.600000
No,0.917525,0.592593,0.150000,0,0,4,0.733333
No,0.767457,0.185185,0.285714,0,0,15,0.166667
Yes,0.791989,0.370370,0.055556,0,0,1,0.750000
Yes,0.802463,0.210526,0.083333,1,1,0,1.000000
Yes,0.901475,0.541667,0.227273,0,0,2,0.333333
Yes,0.796791,0.304348,0.066667,0,0,1,0.666667
No,0.834606,0.391304,0.000000,0,0,1,0.750000
No,0.837138,0.600000,0.200000,0,0,0,1.000000
Yes,0.927870,0.692308,0.080000,1,1,0,1.000000
No,0.760812,0.380952,0.307692,0,0,1,0.666667
No,0.707632,0.125000,0.000000,0,0,1,0.000000
No,0.783800,0.416667,0.250000,1,1,2,0.600000
Yes,0.918771,0.600000,0.117647,0,0,1,0.000000
Yes,0.939330,0.680000,0.421053,0,0,0,1.000000
Yes,0.743716,0.428571,0.222222,0,0,0,1.000000
Yes,0.812725,0.321429,0.150000,0,0,11,0.352941
Yes,0.892580,0.576923,0.444444,0,0,3,0.571429
Yes,0.903182,0.565217,0.227273,0,0,2,0.666667
Yes,0.952641,0.733333,0.000000,0,0,3,0.400000
No,0.792479,0.500000,0.238095,0,0,2,0.500000
Yes,0.915574,0.666667,0.296296,0,0,4,0.636364
Yes,0.854500,0.625000,0.043478,0,0,4,0.333333
No,0.808102,0.461538,0.200000,0,0,0,1.000000
Yes,0.847416,0.500000,0.166667,0,0,1,0.500000
Yes,0.806378,0.259259,0.055556,0,0,11,0.266667
Yes,0.736185,0.230769,0.111111,1,1,7,0.363636
No,0.689166,0.333333,0.187500,0,0,5,0.444444
Yes,0.906787,0.523810,0.187500,0,0,1,0.888889
Yes,0.932878,0.793103,0.206897,0,0,2,0.750000
Yes,0.724308,0.428571,0.105263,0,0,2,0.666667
No,0.845126,0.588235,0.250000,0,0,0,1.000000
Yes,0.724296,0.375000,0.266667,0,0,4,0.200000
Yes,0.748283,0.437500,0.153846,0,0,1,0.000000
Yes,0.677442,0.285714,0.000000,0,0,3,0.250000
Yes,0.843239,0.444444,0.333333,0,0,3,0.500000
Yes,0.755944,0.350000,0.133333,0,0,0,1.000000
Yes,0.726159,0.352941,0.400000,0,0,5,0.285714
Yes,0.685084,0.277778,0.040000,0,0,4,0.555556
Yes,0.826543,0.500000,0.000000,0,0,1,0.750000
Yes,0.562226,0.222222,0.200000,0,0,2,0.500000
No,0.787107,0.400000,0.190476,0,0,1,0.000000
Yes,0.879392,0.608696,0.000000,0,0,2,0.000000
Yes,0.858724,0.500000,0.428571,0,0,0,1.000000
Yes,0.853768,0.500000,0.166667,0,0,0,1.000000
Yes,0.851873,0.217391,0.062500,0,0,1,0.800000
No,0.802022,0.200000,0.043478,1,1,0,1.000000
No,0.820367,0.433333,0.150000,0,0,16,0.272727
No,0.656557,0.260870,0.315789,0,0,1,0.833333
Yes,0.908603,0.619048,0.095238,0,0,4,0.555556
Yes,0.804890,0.464286,0.090909,0,0,1,0.833333
No,0.804521,0.391304,0.000000,0,0,1,0.833333
Yes,0.729258,0.230769,0.285714,0,0,0,1.000000
No,0.660487,0.250000,0.142857,1,1,4,0.200000
No,0.735770,0.350000,0.076923,0,0,1,0.800000
Yes,0.883031,0.478261,0.125000,0,0,4,0.333333
Yes,0.857333,0.636364,0.285714,0,0,1,0.500000
Yes,0.896701,0.454545,0.263158,0,0,3,0.000000
No,0.820104,0.500000,0.125000,0,0,4,0.555556
No,0.623014,0.368421,0.000000,0,0,1,0.666667
Yes,0.775025,0.277778,0.083333,0,0,1,0.500000
Yes,0.707929,0.384615,0.095238,0,0,4,0.555556
Yes,0.883402,0.629630,0.037037,0,0,2,0.000000
No,0.761218,0.419355,0.240000,0,0,2,0.714286
No,0.600620,0.190476,0.333333,0,0,6,0.142857
No,0.907708,0.666667,0.190476,0,0,0,1.000000
Yes,0.914817,0.633333,0.125000,0,0,4,0.500000
Yes,0.855517,0.523810,0.055556,0,0,0,1.000000
No,0.672758,0.272727,0.153846,0,0,1,0.750000
Yes,0.762686,0.285714,0.269231,0,0,7,0.125000
Yes,0.680088,0.312500,0.100000,0,0,1,0.750000
Yes,0.775793,0.200000,0.571429,1,1,2,0.500000
No,0.755347,0.300000,0.071429,0,0,5,0.500000
Yes,0.888391,0.692308,0.222222,0,0,0,1.000000
Yes,0.883171,0.606061,0.034483,0,0,2,0.333333
No,0.819480,0.375000,0.238095,0,0,3,0.500000
No,0.679097,0.291667,0.062500,0,0,7,0.416667
Yes,0.975972,0.720000,0.000000,0,0,0,1.000000
Yes,0.833782,0.600000,0.125000,0,0,1,0.750000
Yes,0.770779,0.307692,0.000000,0,0,8,0.384615
Yes,0.820369,0.384615,0.000000,0,0,0,1.000000
No,0.811447,0.565217,0.285714,0,0,1,0.500000
Yes,0.866627,0.531250,0.208333,0,0,3,0.400000
No,0.749345,0.205882,0.047619,0,0,8,0.111111
Yes,0.863897,0.368421,0.142857,1,1,0,1.000000
Yes,0.861973,0.666667,0.266667,0,0,1,0.833333
Yes,0.903926,0.391304,0.200000,0,0,2,0.818182
No,0.746421,0.384615,0.304348,0,0,3,0.250000
Yes,0.739770,0.230769,0.157895,0,0,4,0.555556
Yes,0.652604,0.086957,0.166667,0,0,4,0.428571
Yes,0.927457,0.703704,0.086957,0,0,0,1.000000
Yes,0.910749,0.500000,0.095238,1,1,0,1.000000
Yes,0.908257,0.708333,0.263158,0,0,4,0.500000
Yes,0.771245,0.347826,0.133333,0,0,4,0.428571
Yes,0.698619,0.291667,0.062500,0,0,4,0.600000
Yes,0.948847,0.636364,0.105263,0,0,0,1.000000
No,0.777083,0.391304,0.222222,0,0,1,0.000000
No,0.827370,0.571429,0.120000,0,0,0,1.000000
Yes,0.852101,0.480000,0.111111,0,0,1,0.750000
Yes,0.762989,0.250000,0.033333,0,0,1,0.800000
No,0.737326,0.304348,0.200000,0,0,5,0.000000
No,0.771839,0.310345,0.375000,0,0,0,1.000000
No,0.897940,0.666667,0.222222,0,0,0,1.000000
Yes,0.814800,0.393939,0.333333,0,0,1,0.500000
No,0.791379,0.228571,0.250000,0,0,3,0.400000
No,0.666530,0.285714,0.400000,0,0,4,0.555556
No,0.832392,0.400000,0.150000,1,1,0,1.000000
Yes,0.807012,0.344828,0.052632,0,0,13,0.277778
Yes,0.958809,0.730769,0.000000,0,0,2,0.000000
Yes,0.817419,0.541667,0.136364,0,0,4,0.333333
No,0.809601,0.466667,0.368421,0,0,3,0.400000
Yes,0.799675,0.464286,0.368421,0,0,2,0.000000
No,0.737319,0.333333,0.117647,0,0,0,1.000000
Yes,0.889770,0.391304,0.000000,0,0,1,0.857143
Yes,0.857829,0.535714,0.181818,0,0,0,1.000000
Yes,0.779038,0.523810,0.333333,0,0,4,0.500000
Yes,0.825086,0.478261,0.428571,0,0,6,0.625000
Yes,0.897681,0.520000,0.437500,0,0,0,1.000000
No,0.901025,0.750000,0.230769,0,0,1,0.500000
Yes,0.823439,0.480000,0.375000,0,0,0,1.000000
No,0.781507,0.300000,0.600000,0,0,1,0.666667
Yes,0.793247,0.333333,0.000000,0,0,13,0.409091
Yes,0.723074,0.440000,0.291667,0,0,4,0.333333
No,0.818253,0.551724,0.241379,0,0,0,1.000000
No,0.721735,0.333333,0.200000,0,0,3,0.727273
Yes,0.827301,0.545455,0.125000,0,0,1,0.000000
Yes,0.896932,0.350000,0.250000,0,0,6,0.500000
Yes,0.783572,0.310345,0.166667,1,1,1,0.750000
Yes,0.804337,0.500000,0.250000,0,0,0,1.000000
Yes,0.909014,0.517241,0.120000,0,0,1,0.666667
Yes,0.884782,0.653846,0.000000,0,0,0,1.000000
Yes,0.821916,0.551724,0.000000,0,0,2,0.333333
No,0.646270,0.285714,0.076923,0,0,4,0.555556
Yes,0.915268,0.724138,0.000000,0,0,3,0.727273
Yes,0.615472,0.260870,0.071429,0,0,3,0.250000
Yes,0.850829,0.529412,0.363636,0,0,1,0.000000
No,0.826758,0.360000,0.125000,0,0,14,0.222222
No,0.799596,0.432432,0.000000,0,0,0,1.000000
No,0.877314,0.454545,0.074074,0,0,1,0.750000
Yes,0.893522,0.620690,0.148148,0,0,0,1.000000
Yes,0.843553,0.535714,0.095238,0,0,1,0.666667
Yes,0.948192,0.739130,0.000000,0,0,0,1.000000
No,0.908479,0.629630,0.368421,0,0,2,0.500000
No,0.679817,0.291667,0.133333,0,0,3,0.250000
Yes,0.784579,0.419355,0.333333,0,0,3,0.250000
Yes,0.821546,0.538462,0.259259,0,0,3,0.400000
Yes,0.683125,0.300000,0.375000,0,0,7,0.000000
Yes,0.793307,0.307692,0.157895,0,0,5,0.375000
Yes,0.663193,0.190476,0.076923,0,0,0,1.000000
No,0.726696,0.357143,0.090909,0,0,2,0.666667
Yes,0.829672,0.461538,0.296296,0,0,0,1.000000
No,0.802504,0.428571,0.217391,0,0,3,0.500000
Yes,0.944603,0.741935,0.000000,0,0,0,1.000000
Yes,0.771071,0.409091,0.384615,0,0,6,0.333333
No,0.854097,0.560000,0.095238,0,0,0,1.000000
No,0.716874,0.280000,0.000000,0,0,2,0.666667
Yes,0.818573,0.416667,0.100000,0,0,1,0.000000
Yes,0.904976,0.666667,0.041667,0,0,0,1.000000
Yes,0.862491,0.535714,0.333333,0,0,3,0.400000
Yes,0.841688,0.423077,0.157895,0,0,3,0.666667
Yes,0.721091,0.282051,0.142857,0,0,6,0.333333
No,0.761514,0.160000,0.142857,0,0,5,0.500000
Yes,0.710924,0.266667,0.333333,0,0,1,0.500000
No,0.927691,0.608696,0.411765,0,0,1,0.750000
No,0.816960,0.375000,0.357143,0,0,2,0.500000
Yes,0.888662,0.681818,0.157895,0,0,8,0.272727
Yes,0.974907,0.680000,0.142857,0,0,2,0.600000
Yes,0.987307,0.650000,0.100000,0,0,0,1.000000
Yes,0.762570,0.354839,0.000000,0,0,1,0.800000
Yes,0.683474,0.375000,0.230769,0,0,2,0.714286
Yes,0.781949,0.437500,0.400000,0,0,1,0.666667
Yes,0.953545,0.500000,0.153846,0,0,0,1.000000
Yes,0.879801,0.468750,0.173913,0,0,0,1.000000
Yes,0.821161,0.480000,0.375000,1,1,1,0.750000
No,0.863950,0.533333,0.040000,0,0,14,0.176471
Yes,0.802893,0.500000,0.384615,0,0,0,1.000000
No,0.808507,0.476190,0.058824,0,0,4,0.200000
Yes,0.874169,0.619048,0.150000,0,0,4,0.333333
Yes,0.910328,0.454545,0.000000,0,0,4,0.333333
Yes,0.744750,0.380952,0.187500,0,0,2,0.333333
No,0.798396,0.440000,0.294118,0,0,8,0.111111
Yes,0.883004,0.566667,0.076923,0,0,5,0.000000
Yes,0.805698,0.384615,0.375000,0,0,1,0.750000
No,0.870839,0.482759,0.285714,0,0,0,1.000000
No,0.773072,0.181818,0.050000,0,0,7,0.461538
Yes,0.845791,0.238095,0.166667,0,0,1,0.750000
Yes,0.775764,0.157895,0.090909,0,0,2,0.600000
Yes,0.914368,0.629630,0.000000,0,0,1,0.833333
Yes,0.787281,0.437500,0.333333,0,0,2,0.000000
Yes,0.933847,0.642857,0.043478,0,0,0,1.000000
Yes,0.720367,0.222222,0.153846,0,0,2,0.000000
Yes,0.810353,0.391304,0.166667,0,0,2,0.000000
No,0.676707,0.200000,0.400000,0,0,1,0.500000
Yes,0.897751,0.600000,0.111111,0,0,0,1.000000
Yes,0.831765,0.478261,0.176471,0,0,4,0.200000
No,0.762444,0.333333,0.416667,0,0,6,0.000000
No,0.784422,0.500000,0.055556,0,0,1,0.666667
Yes,0.793371,0.263158,0.000000,0,0,1,0.800000
Yes,0.899418,0.576923,0.050000,0,0,0,1.000000
Yes,0.779373,0.450000,0.000000,0,0,1,0.000000
No,0.820394,0.346154,0.500000,0,0,7,0.416667
Yes,0.860647,0.531250,0.083333,0,0,1,0.900000
Yes,0.856011,0.350000,0.076923,0,0,1,0.750000
Yes,0.670821,0.350000,0.133333,0,0,1,0.500000
Yes,0.883333,0.642857,0.043478,0,0,2,0.500000
Yes,0.901895,0.760000,0.125000,0,0,1,0.800000
Yes,0.804775,0.500000,0.285714,0,0,1,0.500000
Yes,0.914051,0.555556,0.250000,0,0,0,1.000000
Yes,0.941756,0.578947,0.000000,0,0,0,1.000000
No,0.792373,0.393939,0.500000,0,0,7,0.363636
Yes,0.848935,0.423077,0.166667,0,0,4,0.000000
No,0.748470,0.272727,0.333333,0,0,7,0.222222
Yes,0.918097,0.714286,0.240000,0,0,1,0.750000
Yes,0.964961,0.689655,0.040000,0,0,0,1.000000
No,0.722850,0.285714,0.238095,0,0,8,0.466667
Yes,0.882156,0.678571,0.148148,0,0,2,0.666667
Yes,0.641289,0.230769,0.666667,0,0,2,0.500000
Yes,0.917101,0.625000,0.071429,0,0,0,1.000000
Yes,0.953475,0.863636,0.111111,0,0,2,0.000000
No,0.837699,0.428571,0.181818,0,0,3,0.500000
No,0.762229,0.368421,0.071429,0,0,3,0.625000
No,0.834717,0.520000,0.047619,0,0,2,0.333333
Yes,0.940240,0.727273,0.222222,0,0,0,1.000000
Yes,0.914158,0.750000,0.200000,0,0,4,0.555556
No,0.807099,0.400000,0.100000,0,0,2,0.000000
No,0.818317,0.500000,0.190476,0,0,0,1.000000
Yes,0.753677,0.285714,0.250000,0,0,1,0.500000
No,0.678569,0.115385,0.416667,0,0,10,0.230769
Yes,0.962405,0.388889,0.083333,0,0,0,1.000000
Yes,0.791690,0.500000,0.136364,0,0,5,0.000000
No,0.800778,0.347826,0.176471,0,0,7,0.300000
No,0.762892,0.291667,0.277778,0,0,2,0.714286
Yes,0.821354,0.548387,0.148148,0,0,5,0.166667
Yes,0.944016,0.440000,0.192308,0,0,5,0.444444
Yes,0.860466,0.653846,0.263158,0,0,3,0.250000
Yes,0.800734,0.400000,0.052632,0,0,3,0.400000
Yes,0.893949,0.535714,0.041667,0,0,6,0.500000
Yes,0.818527,0.516129,0.178571,0,0,5,0.375000
No,0.726302,0.360000,0.266667,0,0,0,1.000000
No,0.831196,0.406250,0.115385,0,0,3,0.250000
No,0.811368,0.291667,0.166667,0,0,5,0.375000
No,0.745419,0.240000,0.176471,0,0,18,0.100000
Yes,0.839695,0.421053,0.076923,0,0,1,0.000000
No,0.700515,0.217391,0.133333,0,0,4,0.500000
No,0.796018,0.451613,0.190476,0,0,1,0.500000
Yes,0.845550,0.583333,0.320000,0,0,5,0.166667
Yes,0.613928,0.235294,0.307692,0,0,0,1.000000
No,0.637812,0.217391,0.000000,0,0,2,0.333333
Yes,0.975728,0.920000,0.000000,0,0,2,0.777778
Yes,0.828850,0.421053,0.076923,0,0,2,0.000000
Yes,0.813892,0.393939,0.043478,0,0,2,0.750000
Yes,0.803231,0.310345,0.090909,0,0,1,0.900000
Yes,0.841792,0.120000,0.153846,0,0,3,0.500000
No,0.651668,0.250000,0.058824,0,0,6,0.250000
Yes,0.872831,0.625000,0.043478,0,0,1,0.000000
Yes,0.896508,0.740741,0.115385,0,0,1,0.800000
Yes,0.744673,0.416667,0.111111,1,1,0,1.000000
No,0.752512,0.263158,0.333333,0,0,5,0.500000
Yes,0.841201,0.611111,0.235294,0,0,2,0.333333
No,0.786566,0.344828,0.142857,0,0,6,0.400000
No,0.837053,0.555556,0.100000,0,0,0,1.000000
Yes,0.902193,0.703704,0.000000,0,0,1,0.500000
Yes,0.922646,0.695652,0.222222,0,0,0,1.000000
Yes,0.862827,0.444444,0.000000,0,0,0,1.000000
Yes,0.855851,0.592593,0.000000,0,0,0,1.000000
Yes,0.899273,0.680000,0.000000,1,1,0,1.000000
Yes,0.893019,0.535714,0.083333,0,0,2,0.500000
Yes,0.909469,0.607143,0.125000,0,0,0,1.000000
Yes,0.796422,0.347826,0.461538,0,0,4,0.555556
No,0.628621,0.227273,0.071429,0,0,8,0.200000
Yes,0.953450,0.766667,0.000000,0,0,0,1.000000
No,0.700120,0.269231,0.357143,0,0,1,0.857143
No,0.786144,0.352941,0.230769,0,0,1,0.000000
Yes,0.647409,0.200000,0.363636,0,0,4,0.000000
Yes,0.746005,0.473684,0.000000,0,0,0,1.000000
No,0.683352,0.200000,0.125000,0,0,2,0.500000
Yes,0.686159,0.352941,0.300000,0,0,2,0.000000
Yes,0.892248,0.566667,0.074074,0,0,2,0.333333
Yes,0.859579,0.400000,0.230769,0,0,0,1.000000
Yes,0.677021,0.350000,0.312500,0,0,4,0.000000
No,0.710983,0.250000,0.066667,0,0,2,0.333333
Yes,0.767696,0.392857,0.130435,0,0,3,0.000000
Yes,0.812744,0.411765,0.000000,0,0,1,0.833333
Yes,0.786506,0.423077,0.150000,0,0,2,0.333333
Yes,0.861627,0.368421,0.166667,0,0,5,0.545455
No,0.732733,0.375000,0.241379,0,0,3,0.400000
Yes,0.925884,0.615385,0.250000,0,0,0,1.000000
Yes,0.739760,0.256410,0.148148,0,0,7,0.461538
Yes,0.776037,0.288889,0.000000,0,0,3,0.625000
Yes,0.950517,0.769231,0.074074,0,0,0,1.000000
Yes,0.840686,0.392857,0.217391,0,0,3,0.500000
No,0.901509,0.566667,0.285714,0,0,0,1.000000
Yes,0.842824,0.466667,0.080000,0,0,2,0.000000
No,0.838464,0.400000,0.304348,0,0,2,0.666667
No,0.752088,0.307692,0.187500,0,0,4,0.000000
No,0.687852,0.307692,0.304348,0,0,4,0.500000
No,0.759539,0.277778,0.037037,0,0,8,0.272727
Yes,0.816537,0.423077,0.190476,0,0,3,0.571429
No,0.817920,0.392857,0.437500,0,0,10,0.375000
No,0.734771,0.261905,0.137931,0,0,2,0.777778
Yes,0.706769,0.437500,0.300000,0,0,0,1.000000
Yes,0.905552,0.629630,0.045455,0,0,2,0.600000
Yes,0.824543,0.307692,0.428571,0,0,10,0.333333
No,0.701822,0.269231,0.111111,0,0,2,0.600000
Yes,0.727416,0.333333,0.000000,0,0,4,0.500000
Yes,0.784424,0.379310,0.291667,0,0,4,0.600000
Yes,0.758981,0.347826,0.066667,0,0,0,1.000000
Yes,0.877191,0.615385,0.142857,0,0,0,1.000000
No,0.894404,0.538462,0.166667,0,0,4,0.428571
No,0.720458,0.321429,0.217391,0,0,0,1.000000
No,0.689486,0.387097,0.130435,0,0,7,0.125000
Yes,0.776488,0.368421,0.142857,0,0,1,0.000000
No,0.936964,0.730769,0.200000,1,1,0,1.000000
Yes,0.730658,0.333333,0.052632,0,0,3,0.000000
Yes,0.943445,0.714286,0.040000,0,0,0,1.000000
No,0.812359,0.466667,0.136364,0,0,3,0.250000
Yes,0.726369,0.347826,0.000000,0,0,4,0.333333
No,0.795759,0.181818,0.454545,0,0,12,0.142857
No,0.878130,0.482759,0.240000,0,0,3,0.571429
