quality,unique_words,length_ratio,sim_0,negations,neg_parity,unusuals_0,unusual_ratio_0,sim_1,unusuals_1,unusual_ratio_1,sim_2,unusuals_2,unusual_ratio_2,sim_3,unusuals_3,unusual_ratio_3,sim_4,unusuals_4,unusual_ratio_4,max_sim,min_sim,text
Yes,0.733333,0.266667,0.94157187,0,0,2,0.5,0.82769567,5,0.285714286,0.870588844,2,0.5,0.808816179,2,0.5,0.801952417,2,0.5,0.94157187,0.801952417,688
Yes,0.666667,0.333333,0.879040084,0,0,0,1,0.738606452,3,0.5,0.897157319,1,0,0.934532458,1,0,0.886946572,1,0,0.934532458,0.738606452,689
No,1.153846,0.153846,0.891721658,0,0,6,0.142857143,0.69369685,6,0.333333333,0.871568752,6,0.142857143,0.993091459,6,0.142857143,0.979224495,6,0.142857143,0.993091459,0.69369685,690
No,1.333333,0.388889,0.916282057,1,1,1,0.75,0.817165661,1,0.833333333,0.770554155,4,0.428571429,0.965333965,4,0.428571429,0.978302792,4,0.428571429,0.978302792,0.770554155,691
Yes,1.047619,0.045455,0.992260732,0,0,0,1,0.966399625,0,1,1,0,1,0.999050854,0,1,0.995539704,0,1,1,0.966399625,692
Yes,0.84,0.142857,0.958440745,0,0,0,1,0.879137421,2,0,0.951674262,1,0.5,0.977116072,1,0.5,0.979350106,1,0.5,0.979350106,0.879137421,693
No,0.785714,0.241379,0.993926044,0,0,0,1,0.911753631,2,0.666666667,0.816042026,0,1,0.996481992,0,1,0.920682763,0,1,0.996481992,0.816042026,694
No,1.125,0.25,0.912224653,0,0,0,1,0.866662865,0,1,0.999939077,0,1,1,0,1,0.995115815,0,1,1,0.866662865,695
Yes,1.04,0.037037,0.952673076,0,0,4,0,0.936036908,5,0.375,0.961556482,4,0,0.945485962,4,0,0.955824604,4,0,0.961556482,0.936036908,696
Yes,1.352941,0.444444,0.878234365,1,1,0,1,0.852810187,2,0.333333333,0.763050258,1,0.5,0.971980493,1,0.5,0.922750352,1,0.5,0.971980493,0.763050258,697
No,0.882353,0.25,0.783065608,0,0,0,1,0.708807684,1,0.666666667,0.688124081,1,0.666666667,0.986061564,1,0.666666667,0.914408597,1,0.666666667,0.986061564,0.688124081,698
No,0.666667,0.25,0.757679786,0,0,0,1,0.642121623,0,1,0.785775953,2,0,0.901086416,2,0,0.926009699,2,0,0.926009699,0.642121623,699
Yes,0.9375,0,0.827015487,0,0,0,1,0.70461835,0,1,0.773392434,3,0,0.961826195,3,0,0.940496835,3,0,0.961826195,0.70461835,700
Yes,1.166667,0.076923,0.942694775,0,0,0,1,0.785065445,1,0.666666667,0.642033228,0,1,1,0,1,0.997298534,0,1,1,0.642033228,701
Yes,1.086957,0.086957,0.967243635,0,0,3,0,0.881775209,7,0.3,0.999650203,3,0.25,0.991525971,3,0.25,0.964679236,3,0.25,0.999650203,0.881775209,702
Yes,0.8,0.190476,0.938392831,0,0,0,1,0.870193251,0,1,0.89440912,0,1,0.989783435,0,1,0.997219905,0,1,0.997219905,0.870193251,703
Yes,1,0,0.958437574,0,0,2,0,0.8496912,2,0.333333333,0.90073914,2,0.333333333,1,2,0.333333333,1,2,0.333333333,1,0.8496912,704
No,1,0,0.801951054,0,0,3,0.25,0.708325791,4,0.5,0.683907468,3,0.25,0.905219532,3,0.25,0.905564573,3,0.25,0.905564573,0.683907468,705
Yes,1.230769,0.230769,0.928833095,0,0,8,0.111111111,0.842864321,12,0.142857143,0.75244734,8,0.111111111,0.971793243,8,0.111111111,0.933166377,8,0.111111111,0.971793243,0.75244734,706
Yes,1,0.043478,0.91732315,0,0,2,0,0.88122505,2,0.714285714,0.987490336,2,0,0.732467485,2,0,0.748572989,2,0,0.987490336,0.732467485,707
No,1.2,0.25,0.921988851,0,0,0,1,0.914777936,2,0.777777778,0.979210261,0,1,0.99961784,0,1,0.986082585,0,1,0.99961784,0.914777936,708
No,1.4375,0.411765,0.882001215,0,0,0,1,0.787319249,1,0.8,0.799377909,1,0.666666667,0.959861255,1,0.666666667,0.968085284,1,0.666666667,0.968085284,0.787319249,709
No,0.875,0.157895,0.904955789,1,1,0,1,0.861319553,1,0,0.876723227,1,0.5,0.961854758,1,0.5,0.996547634,1,0.5,0.996547634,0.861319553,710
No,1.25,0.25,0.800948418,0,0,0,1,0.666386723,5,0.285714286,0.894941744,1,0.666666667,0.966795829,1,0.666666667,0.95923692,1,0.666666667,0.966795829,0.666386723,711
No,1.210526,0.315789,0.941403395,0,0,1,0.5,0.845425724,5,0.166666667,0.993416631,1,0.666666667,0.983892235,1,0.666666667,0.916400079,1,0.666666667,0.993416631,0.845425724,712
Yes,1.307692,0.357143,0.869466436,0,0,5,0,0.755206747,6,0.538461538,0.94704807,6,0,0.96203612,6,0,0.913247089,6,0,0.96203612,0.755206747,713
No,1.25,0.25,0.841338477,0,0,2,0,0.67871366,3,0.5,0.807164809,2,0,0.931240163,2,0,0.854190156,2,0,0.931240163,0.67871366,714
No,0.8,0.272727,0.887261679,0,0,1,0.5,0.712001348,2,0.5,0.995347687,1,0.5,0.956044445,1,0.5,0.728113358,1,0.5,0.995347687,0.712001348,715
No,0.7,0.333333,0.913463163,0,0,1,0,0.831000686,2,0.333333333,0.88814166,2,0,0.811590714,2,0,0.836802466,2,0,0.913463163,0.811590714,716
Yes,1.052632,0.1,0.915290814,0,0,2,0.333333333,0.874090872,3,0.4,0.963433426,3,0.25,0.950674183,3,0.25,0.959992328,3,0.25,0.963433426,0.874090872,717
No,1.416667,0.5,0.927783015,0,0,2,0.333333333,0.907454343,6,0.5,0.902975503,2,0.333333333,0.967301206,2,0.333333333,0.932890844,2,0.333333333,0.967301206,0.902975503,718
No,0.6875,0.3125,0.818473596,0,0,5,0.166666667,0.79927674,5,0.285714286,0.914255317,5,0.285714286,0.96800805,5,0.285714286,0.974704566,5,0.285714286,0.974704566,0.79927674,719
Yes,0.75,0.1875,0.874921899,0,0,1,0.5,0.772311901,2,0.333333333,0.712572094,1,0.666666667,0.922888807,1,0.666666667,0.911827785,1,0.666666667,0.922888807,0.712572094,720
No,1.25,0.25,0.854152559,0,0,0,1,0.705368925,0,1,0.832629505,0,1,0.99199849,0,1,0.772374404,0,1,0.99199849,0.705368925,721
Yes,0.954545,0.045455,0.954356908,0,0,0,1,0.889128004,1,0.666666667,0.999458003,0,1,0.999684439,0,1,0.940706129,0,1,0.999684439,0.889128004,722
Yes,0.789474,0.210526,0.864929688,0,0,1,0,0.811122992,4,0,0.966742216,1,0,0.909866049,1,0,0.8683095,1,0,0.966742216,0.811122992,723
Yes,0.785714,0.133333,0.836089203,0,0,0,1,0.723138998,0,1,0.826961918,0,1,0.894262109,0,1,0.865841345,0,1,0.894262109,0.723138998,724
No,1.363636,0.454545,0.77096389,0,0,1,0.666666667,0.66715685,1,0.666666667,0.912981452,2,0.6,0.976502244,2,0.6,0.97872431,2,0.6,0.97872431,0.66715685,725
Yes,1,0,0.97536515,0,0,7,0.222222222,0.940225741,7,0.461538462,0.983689392,7,0.222222222,1,7,0.222222222,1,7,0.222222222,1,0.940225741,726
No,0.875,0.176471,0.851429382,0,0,4,0,0.685220221,5,0,0.816228423,5,0,0.935680868,5,0,0.964226525,5,0,0.964226525,0.685220221,727
No,0.888889,0.071429,0.855244732,0,0,1,0,0.734641997,3,0.5,0.893794736,4,0.2,0.95505093,4,0.2,0.958750883,4,0.2,0.958750883,0.734641997,728
Yes,1,0.052632,0.850278309,0,0,0,1,0.736360887,2,0.75,0.75431256,1,0,0.941273268,1,0,0.927641843,1,0,0.941273268,0.736360887,729
Yes,0.888889,0.105263,0.943220248,0,0,0,1,0.8789661,0,1,0.777819021,3,0.5,0.98806758,3,0.5,0.890829264,3,0.5,0.98806758,0.777819021,730
Yes,1.045455,0,0.922070252,0,0,0,1,0.899006083,0,1,0.998880647,1,0.833333333,0.968407411,1,0.833333333,0.983972022,1,0.833333333,0.998880647,0.899006083,731
No,1.166667,0.25,0.933021568,0,0,1,0.5,0.821995477,2,0.6,0.967883264,1,0.5,0.842399381,1,0.5,0.855664735,1,0.5,0.967883264,0.821995477,732
Yes,1.263158,0.285714,0.921131177,0,0,0,1,0.887096908,0,1,0.837046127,2,0.6,0.975259996,2,0.6,0.959408579,2,0.6,0.975259996,0.837046127,733
Yes,1.2,0.3,0.80934241,0,0,2,0,0.796531609,3,0.25,0.720780979,2,0,0.89439411,2,0,0.93215152,2,0,0.93215152,0.720780979,734
Yes,1.111111,0.052632,0.944467702,0,0,0,1,0.833053697,3,0.571428571,0.923041865,1,0.666666667,0.976923319,1,0.666666667,0.949486558,1,0.666666667,0.976923319,0.833053697,735
Yes,1.1875,0.1875,0.835856373,0,0,0,1,0.597516996,1,0.5,0.898978339,3,0.25,0.938997072,3,0.25,0.920543914,3,0.25,0.938997072,0.597516996,736
No,1.3,0.3,0.778772504,1,1,1,0.5,0.661563693,2,0.333333333,0.941817122,3,0.25,0.923048619,3,0.25,0.719575476,3,0.25,0.941817122,0.661563693,737
Yes,1.315789,0.368421,0.815490422,0,0,2,0,0.745791898,2,0,0.981280593,5,0.166666667,0.914044437,5,0.166666667,0.918697286,5,0.166666667,0.981280593,0.745791898,738
No,1.153846,0.153846,0.8011915,0,0,11,0.083333333,0.73578876,15,0.117647059,0.89264287,12,0.076923077,0.955552477,12,0.076923077,0.862080282,12,0.076923077,0.955552477,0.73578876,739
Yes,1.136364,0.217391,0.820396987,1,1,2,0.333333333,0.69072602,4,0.2,0.867994418,5,0.166666667,0.909230177,5,0.166666667,0.891346289,5,0.166666667,0.909230177,0.69072602,740
No,0.85,0.047619,0.930816329,0,0,0,1,0.803050336,3,0.5,0.875804423,1,0.666666667,0.965093159,1,0.666666667,0.941092806,1,0.666666667,0.965093159,0.803050336,741
Yes,1.5,0.461538,0.914924226,0,0,2,0.333333333,0.862072768,4,0.333333333,0.997995209,2,0.666666667,0.994943731,2,0.666666667,0.989943841,2,0.666666667,0.997995209,0.862072768,742
Yes,0.928571,0.071429,0.832287744,0,0,0,1,0.806660169,2,0.714285714,0.930932323,1,0.5,0.929706353,1,0.5,0.877102797,1,0.5,0.930932323,0.806660169,743
Yes,1.181818,0.181818,0.97969636,0,0,0,1,0.94287545,0,1,0.911247065,2,0.666666667,0.9953587,2,0.666666667,0.995400992,2,0.666666667,0.995400992,0.911247065,744
Yes,0.954545,0.043478,0.925807986,0,0,3,0.25,0.900028755,5,0.166666667,0.902727515,4,0.428571429,0.966314793,4,0.428571429,0.971644525,4,0.428571429,0.971644525,0.900028755,745
No,1.2,0.1875,0.961222179,0,0,0,1,0.844225595,0,1,0.980830788,1,0.5,0.95448563,1,0.5,0.87087081,1,0.5,0.980830788,0.844225595,746
Yes,0.833333,0.166667,0.865458003,0,0,2,0.5,0.844645941,7,0.3,0.996991527,2,0.5,0.951177058,2,0.5,0.949357245,2,0.5,0.996991527,0.844645941,747
No,1.294118,0.352941,0.847256016,0,0,1,0.5,0.704752753,2,0.777777778,0.873553546,4,0.2,0.905326778,4,0.2,0.908942794,4,0.2,0.908942794,0.704752753,748
Yes,0.888889,0.074074,0.956510342,1,1,0,1,0.852651278,1,0.666666667,0.934992469,0,1,0.979747313,0,1,0.966924289,0,1,0.979747313,0.852651278,749
Yes,1,0,0.96049323,0,0,0,1,0.9223302,0,1,0.968131375,2,0.6,0.994944856,2,0.6,0.996597661,2,0.6,0.996597661,0.9223302,750
Yes,1.090909,0.090909,0.905310964,0,0,4,0,0.827298744,6,0.25,0.72683412,4,0,0.848223264,4,0,0.891424129,4,0,0.905310964,0.72683412,751
Yes,0.851852,0.142857,0.946273111,0,0,1,0,0.918079551,4,0.2,0.995897775,1,0,0.816870716,1,0,0.938160556,1,0,0.995897775,0.816870716,752
No,1,0,0.84196388,0,0,8,0.111111111,0.698007807,9,0.1,0.77863245,8,0.111111111,0.933976551,8,0.111111111,0.941807744,8,0.111111111,0.941807744,0.698007807,753
Yes,0.909091,0.074074,0.955566031,0,0,0,1,0.922214628,1,0.666666667,0.912157388,1,0.5,0.972201161,1,0.5,0.979407263,1,0.5,0.979407263,0.912157388,754
Yes,0.857143,0.166667,0.942015248,0,0,1,0.75,0.888487503,2,0.75,0.956297316,1,0.75,0.999121728,1,0.75,0.970654684,1,0.75,0.999121728,0.888487503,755
No,0.954545,0.16,0.936795874,0,0,1,0.8,0.832330357,3,0.571428571,0.998456647,1,0.833333333,0.991552053,1,0.833333333,0.993478734,1,0.833333333,0.998456647,0.832330357,756
Yes,1.157895,0.315789,0.940825506,0,0,0,1,0.914054766,1,0.833333333,0.993975726,0,1,0.989884946,0,1,1,0,1,1,0.914054766,757
Yes,1.142857,0.142857,0.870319798,0,0,0,1,0.835501489,0,1,0.86101649,1,0.666666667,0.975042222,1,0.666666667,0.843400063,1,0.666666667,0.975042222,0.835501489,758
Yes,1.04,0,0.910766495,0,0,1,0.5,0.721568587,5,0.5,0.933724489,3,0.25,0.923539219,3,0.25,0.882084473,3,0.25,0.933724489,0.721568587,759
No,1.263158,0.25,0.949955734,0,0,0,1,0.917585257,1,0.909090909,0.939136387,1,0.5,0.949343754,1,0.5,0.947215268,1,0.5,0.949955734,0.917585257,760
Yes,0.952381,0,0.911073131,0,0,2,0.6,0.881817664,4,0.5,0.802469787,2,0.666666667,0.987129955,2,0.666666667,0.972094211,2,0.666666667,0.987129955,0.802469787,761
Yes,0.785714,0.214286,0.917776727,0,0,1,0.75,0.774214227,6,0.333333333,0.835056886,1,0.75,0.92524748,1,0.75,0.833045703,1,0.75,0.92524748,0.774214227,762
Yes,1,0.045455,0.952372249,0,0,0,1,0.852829776,0,1,0.908921885,2,0.333333333,0.970794598,2,0.333333333,0.950759861,2,0.333333333,0.970794598,0.852829776,763
Yes,1.3,0.428571,0.958607499,0,0,0,1,0.875668499,1,0.75,0.917745709,0,1,0.968552225,0,1,0.898961422,0,1,0.968552225,0.875668499,764
Yes,1.076923,0.066667,0.94141067,0,0,0,1,0.889402973,1,0.666666667,0.82960365,0,1,0.997632692,0,1,0.996510753,0,1,0.997632692,0.82960365,765
Yes,0.703704,0.296296,0.950257283,0,0,0,1,0.815252476,5,0.5,0.827949714,1,0.75,0.976312409,1,0.75,0.956551428,1,0.75,0.976312409,0.815252476,766
No,0.958333,0.041667,0.920777036,0,0,3,0.571428571,0.737958022,4,0.555555556,0.900592978,5,0.5,0.965835051,5,0.5,0.885942434,5,0.5,0.965835051,0.737958022,767
Yes,0.842105,0.269231,0.94340148,0,0,2,0.333333333,0.809272797,6,0.25,0.908349913,2,0.333333333,0.907859403,2,0.333333333,0.710209259,2,0.333333333,0.94340148,0.710209259,768
Yes,0.8,0.133333,0.866356408,0,0,0,1,0.796119569,1,0.75,0.754296756,1,0.5,0.981256899,1,0.5,0.981867015,1,0.5,0.981867015,0.754296756,769
No,1.125,0.058824,0.894705031,0,0,1,0,0.759980857,3,0.5,0.985065329,1,0,0.760783545,1,0,0.724040484,1,0,0.985065329,0.724040484,770
No,0.8125,0.125,0.82195727,0,0,0,1,0.79818762,1,0.5,0.883677542,1,0,0.857740646,1,0,0.765030944,1,0,0.883677542,0.765030944,771
Yes,0.807692,0.206897,0.94539841,0,0,0,1,0.877162932,0,1,0.970600598,2,0.333333333,0.970298083,2,0.333333333,0.977207513,2,0.333333333,0.977207513,0.877162932,772
No,1.176471,0.235294,0.835999634,1,1,0,1,0.741074953,2,0.333333333,0.879208976,4,0.428571429,0.97425379,4,0.428571429,0.974812464,4,0.428571429,0.974812464,0.741074953,773
Yes,0.95,0.090909,0.930420119,0,0,0,1,0.891716499,0,1,0.846850519,2,0,0.883173394,2,0,0.801016917,2,0,0.930420119,0.801016917,774
Yes,0.909091,0.125,0.934028341,0,0,2,0,0.788177329,5,0.166666667,0.962427177,2,0,0.7537216,2,0,0.696172822,2,0,0.962427177,0.696172822,775
No,0.6875,0.3125,0.811445721,0,0,2,0,0.737995966,4,0.2,0.798763578,2,0,0.926068097,2,0,0.812017136,2,0,0.926068097,0.737995966,776
No,0.933333,0.125,0.864963502,0,0,1,0.5,0.792767909,1,0.5,0.841732068,3,0.25,0.961224391,3,0.25,0.935292283,3,0.25,0.961224391,0.792767909,777
No,1.05,0.181818,0.915955673,0,0,2,0.5,0.852799889,5,0.444444444,0.883503704,2,0.5,0.962659666,2,0.5,0.964327905,2,0.5,0.964327905,0.852799889,778
No,0.8125,0.1875,0.90772742,0,0,2,0,0.72400176,3,0,0.874905414,2,0,0.89607315,2,0,0.910886378,2,0,0.910886378,0.72400176,779
No,1.384615,0.428571,0.971203391,0,0,0,1,0.846513047,0,1,0.999951827,0,1,0.961875451,0,1,0.943644607,0,1,0.999951827,0.846513047,780
Yes,1.1875,0.263158,0.88255589,0,0,1,0,0.7847934,3,0.571428571,0.947028193,3,0,0.931266394,3,0,0.907071736,3,0,0.947028193,0.7847934,781
Yes,0.913043,0.125,0.9094506,0,0,1,0.5,0.793180298,2,0.333333333,0.888094051,1,0.666666667,0.991609829,1,0.666666667,0.994885282,1,0.666666667,0.994885282,0.793180298,782
Yes,1,0,0.924272666,0,0,2,0,0.842084742,5,0,0.846280878,2,0,0.950418711,2,0,0.932670479,2,0,0.950418711,0.842084742,783
Yes,1.133333,0.133333,0.93761165,0,0,0,1,0.791269183,1,0.75,0.746070384,0,1,0.985509955,0,1,0.94370126,0,1,0.985509955,0.746070384,784
Yes,1,0,0.982836526,0,0,0,1,0.938745605,0,1,0.946461059,0,1,0.999999281,0,1,0.999375968,0,1,0.999999281,0.938745605,785
Yes,1,0.043478,0.986428279,0,0,0,1,0.938118598,0,1,0.827821279,1,0.75,0.99306726,1,0.75,0.993125391,1,0.75,0.993125391,0.827821279,786
Yes,0.736842,0.142857,0.9695886,0,0,0,1,0.853178018,0,1,0.931576272,0,1,0.975226355,0,1,0.915514251,0,1,0.975226355,0.853178018,787
Yes,0.75,0.277778,0.960223861,0,0,1,0,0.93115622,1,0.5,0.952937655,1,0.5,0.969225685,1,0.5,0.971714842,1,0.5,0.971714842,0.93115622,788
No,0.833333,0.166667,0.830504151,0,0,0,1,0.730743588,4,0.2,0.992692866,1,0,0.885553304,1,0,0.830101062,1,0,0.992692866,0.730743588,789
Yes,0.772727,0.227273,0.869772644,0,0,1,0.5,0.769687977,1,0.75,0.892911952,5,0.166666667,0.902490088,5,0.166666667,0.898915903,5,0.166666667,0.902490088,0.769687977,790
Yes,1.111111,0.105263,0.941519787,0,0,0,1,0.858917701,0,1,0.928521322,0,1,1,0,1,0.999515115,0,1,1,0.858917701,791
Yes,1,0,0.980653284,0,0,1,0,0.845172479,3,0.571428571,0.946581159,1,0.5,0.966583176,1,0.5,0.873525569,1,0.5,0.980653284,0.845172479,792
No,0.583333,0.44,0.914810864,0,0,0,1,0.851070537,2,0.777777778,0.99709246,3,0.7,0.988856033,3,0.7,0.965931595,3,0.7,0.99709246,0.851070537,793
Yes,1.384615,0.461538,0.945681299,1,1,0,1,0.86813375,0,1,0.918152617,0,1,0.944524261,0,1,0.868018961,0,1,0.945681299,0.868018961,794
Yes,1.05,0.045455,0.94812663,0,0,0,1,0.907092604,0,1,0.908671073,0,1,0.988618373,0,1,0.999856836,0,1,0.999856836,0.907092604,795
Yes,0.916667,0.076923,0.968920169,0,0,1,0,0.952081391,3,0.4,0.998860141,2,0.333333333,0.974497693,2,0.333333333,0.980663928,2,0.333333333,0.998860141,0.952081391,796
Yes,1.058824,0,0.886274183,0,0,0,1,0.786050887,2,0.5,0.938715574,3,0.25,0.966060271,3,0.25,0.963581138,3,0.25,0.966060271,0.786050887,797
Yes,0.764706,0.235294,0.9204451,0,0,0,1,0.741111244,0,1,0.773495682,1,0.5,0.963670711,1,0.5,0.935570571,1,0.5,0.963670711,0.741111244,798
Yes,1.176471,0.3,0.886903083,0,0,3,0.4,0.812718629,4,0.333333333,0.846148211,3,0.5,0.993457723,3,0.5,0.993350653,3,0.5,0.993457723,0.812718629,799
Yes,0.954545,0,0.924039147,0,0,0,1,0.906470376,0,1,0.846378641,1,0.75,0.888233067,1,0.75,0.873402315,1,0.75,0.924039147,0.846378641,800
Yes,0.782609,0.2,0.99349977,0,0,0,1,0.944814502,0,1,0.986772926,0,1,0.999879515,0,1,0.988583077,0,1,0.999879515,0.944814502,801
Yes,0.791667,0.259259,0.930188037,0,0,0,1,0.882965078,0,1,0.936409558,1,0.833333333,0.989346048,1,0.833333333,0.989113585,1,0.833333333,0.989346048,0.882965078,802
Yes,0.772727,0.26087,0.914180791,0,0,3,0.25,0.864533689,6,0.142857143,0.991784772,3,0.571428571,0.975470913,3,0.571428571,0.974206624,3,0.571428571,0.991784772,0.864533689,803
Yes,1.375,0.4375,0.978212653,0,0,0,1,0.886407793,1,0,0.942109208,0,1,0.878585588,0,1,0.974133458,0,1,0.978212653,0.878585588,804
Yes,0.833333,0.105263,0.91009389,0,0,0,1,0.854878184,0,1,0.914796823,0,1,0.980894036,0,1,0.935717444,0,1,0.980894036,0.854878184,805
No,1.083333,0.166667,0.827663458,0,0,0,1,0.683236514,1,0.5,0.885419404,0,1,0.90130544,0,1,0.7979691,0,1,0.90130544,0.683236514,806
No,0.666667,0.296296,0.870577625,0,0,1,0.666666667,0.789125336,2,0.6,0.928591553,4,0.428571429,0.970630138,4,0.428571429,0.971105062,4,0.428571429,0.971105062,0.789125336,807
Yes,0.857143,0.136364,0.917789807,0,0,1,0.666666667,0.843148709,3,0.571428571,0.919964057,1,0.666666667,0.972127378,1,0.666666667,0.862308233,1,0.666666667,0.972127378,0.843148709,808
No,1.1,0.1,0.86889403,0,0,0,1,0.720211744,0,1,0.860489173,0,1,0.779024675,0,1,0.871035994,0,1,0.871035994,0.720211744,809
Yes,1.583333,0.461538,0.900985712,0,0,0,1,0.765468248,0,1,0.858720346,0,1,0.98080238,0,1,0.974096889,0,1,0.98080238,0.765468248,810
Yes,0.75,0.304348,0.90033492,0,0,0,1,0.853874526,1,0.666666667,0.905854903,2,0.333333333,0.968676319,2,0.333333333,0.937847304,2,0.333333333,0.968676319,0.853874526,811
Yes,1.25,0.142857,0.816041723,0,0,6,0.142857143,0.806163541,8,0.272727273,0.859752255,8,0.111111111,0.971709257,8,0.111111111,0.971709257,8,0.111111111,0.971709257,0.806163541,812
No,0.769231,0.285714,0.635772907,1,1,0,1,0.5999114,1,0.5,0.770502377,1,0.5,0.901514474,1,0.5,0.869832596,1,0.5,0.901514474,0.5999114,813
Yes,1.166667,0.105263,0.973916299,0,0,1,0,0.890012367,6,0.333333333,0.950964185,1,0.5,0.955821537,1,0.5,0.939356426,1,0.5,0.973916299,0.890012367,814
No,1.2,0.2,0.767307123,0,0,2,0.6,0.700146398,3,0.5,0.705590775,4,0.555555556,0.930204661,4,0.555555556,0.92978043,4,0.555555556,0.930204661,0.700146398,815
Yes,1.052632,0.047619,0.929657213,0,0,0,1,0.808606548,0,1,0.916851145,1,0.75,0.98815293,1,0.75,0.908340936,1,0.75,0.98815293,0.808606548,816
No,1.307692,0.384615,0.869350036,0,0,0,1,0.792466083,0,1,0.88968914,1,0,0.853453599,1,0,0.870920741,1,0,0.88968914,0.792466083,817
No,1.230769,0.307692,0.826815002,0,0,1,0.5,0.749830164,1,0.666666667,0.793456256,3,0.25,0.979725517,3,0.25,0.983000707,3,0.25,0.983000707,0.749830164,818
No,1,0,0.848889285,0,0,1,0.666666667,0.705464394,4,0.555555556,0.716198273,3,0.4,0.968708252,3,0.4,0.967435999,3,0.4,0.968708252,0.705464394,819
No,0.962963,0.035714,0.866020594,0,0,0,1,0.733995393,1,0.833333333,0.915430792,7,0.3,0.952945577,7,0.3,0.958095398,7,0.3,0.958095398,0.733995393,820
No,1.222222,0.210526,0.93200569,0,0,0,1,0.890534906,0,1,0.997787963,2,0,0.951117741,2,0,0.957615057,2,0,0.997787963,0.890534906,821
Yes,1.05,0.095238,0.96521529,0,0,0,1,0.974310854,0,1,0.999999113,0,1,0.999986913,0,1,1,0,1,1,0.96521529,822
Yes,1.105263,0.095238,0.804274853,0,0,12,0.2,0.789569375,13,0.1875,0.93629299,14,0.222222222,0.970076399,14,0.222222222,0.975139488,14,0.222222222,0.975139488,0.789569375,823
Yes,0.933333,0.222222,0.930297412,0,0,0,1,0.756064259,1,0.666666667,0.995568123,2,0,0.849890153,2,0,0.792675372,2,0,0.995568123,0.756064259,824
No,0.777778,0.222222,0.777570648,0,0,1,0,0.711293582,2,0,0.898854142,2,0,0.879655397,2,0,0.911809449,2,0,0.911809449,0.711293582,825
No,1.277778,0.238095,0.906874512,0,0,0,1,0.842551437,1,0.5,0.822801398,3,0.5,0.961989851,3,0.5,0.958109236,3,0.5,0.961989851,0.822801398,826
No,1,0,0.759071832,0,0,0,1,0.593181941,1,0.5,0.804081641,1,0,0.85617033,1,0,0.842305359,1,0,0.85617033,0.593181941,827
Yes,1.263158,0.315789,0.921056909,0,0,0,1,0.908310572,0,1,0.978328454,0,1,0.978430837,0,1,0.996825314,0,1,0.996825314,0.908310572,828
No,1.384615,0.384615,0.934227801,0,0,4,0,0.789088772,4,0.2,0.980019738,4,0,0.991509891,4,0,0.988444531,4,0,0.991509891,0.789088772,829
No,0.857143,0.2,0.924712138,0,0,0,1,0.723590283,3,0.4,0.899412333,1,0.5,0.962186372,1,0.5,0.963800093,1,0.5,0.963800093,0.723590283,830
Yes,1.181818,0.217391,0.880009889,0,0,0,1,0.747338762,3,0.5,0.863296534,3,0.25,0.97528326,3,0.25,0.968235528,3,0.25,0.97528326,0.747338762,831
Yes,0.869565,0.185185,0.936705173,0,0,0,1,0.890293494,0,1,0.968134137,4,0,0.95457258,4,0,0.94962883,4,0,0.968134137,0.890293494,832
No,1.5,0.5,0.823884007,0,0,0,1,0.765021296,3,0.25,0.785983604,1,0.5,0.972561324,1,0.5,0.970826651,1,0.5,0.972561324,0.765021296,833
Yes,1.3125,0.4375,0.852042129,0,0,2,0.666666667,0.798843738,5,0.615384615,0.863102318,3,0.625,0.93618882,3,0.625,0.978568894,3,0.625,0.978568894,0.798843738,834
Yes,0.8,0.227273,0.969909196,0,0,1,0.5,0.945216825,1,0.75,0.933875564,1,0.5,0.967301808,1,0.5,0.962387533,1,0.5,0.969909196,0.933875564,835
No,0.904762,0.259259,0.914963716,0,0,0,1,0.872137521,0,1,0.945751516,0,1,0.997738666,0,1,0.95994082,0,1,0.997738666,0.872137521,836
Yes,0.807692,0.153846,0.926665841,0,0,1,0.666666667,0.73314101,5,0.285714286,0.948371093,2,0.5,0.853360258,2,0.5,0.885543231,2,0.5,0.948371093,0.73314101,837
No,1.692308,0.5,0.871231486,0,0,3,0,0.759456519,3,0,0.884629737,4,0.2,0.905032197,4,0.2,0.931052026,4,0.2,0.931052026,0.759456519,838
No,1.285714,0.3125,0.751269062,0,0,7,0,0.639149989,10,0,0.91846128,8,0.111111111,0.941756345,8,0.111111111,0.942543217,8,0.111111111,0.942543217,0.639149989,839
No,0.826087,0.2,0.918166444,0,0,2,0.5,0.883924987,6,0.333333333,0.706208958,2,0.5,0.99440217,2,0.5,0.98423607,2,0.5,0.99440217,0.706208958,840
Yes,0.842105,0.157895,0.940597712,1,1,0,1,0.913569312,0,1,0.943187355,0,1,0.988771255,0,1,0.998587024,0,1,0.998587024,0.913569312,841
Yes,1.095238,0.041667,0.971655527,0,0,0,1,0.913220023,1,0.8,0.940643375,1,0.75,0.988817732,1,0.75,0.990301596,1,0.75,0.990301596,0.913220023,842
Yes,0.736842,0.25,0.917993361,0,0,1,0.5,0.855034411,2,0.333333333,0.779300012,1,0.666666667,0.981121556,1,0.666666667,0.962874428,1,0.666666667,0.981121556,0.779300012,843
No,0.923077,0.071429,0.858805981,0,0,3,0,0.826448838,3,0,0.992310132,3,0,0.986610961,3,0,0.954623438,3,0,0.992310132,0.826448838,844
