Class,text
atheism, [...]  >There is a good deal more confusion here.   You started off with the  >assertion that there was some  objective  morality  and as you admit >here  you finished up with a recursive definition.   Murder is  > objectively  immoral  but eactly what is murder and what is not itself >requires an appeal to morality.  Yes.  >Now you have switch targets a little  but only a little.   Now you are >asking what is the  goal ?   What do you mean by  goal? .   Are you >suggesting that there is some  objective   goal  out there somewhere  >and we form our morals to achieve it?  Well  for example  the goal of  natural  morality is the survival and propogation of the species.  Another example of a moral system is presented within the Declaration of Independence  which states that we should be guaranteed life liberty and the pursuit of happiness.  You see  to have a moral system  we must define the purpose of the system.  That is  we shall be moral unto what end?  >>Murder is certainly a violation of the golden rule.  And  I thought I had >>defined murder as an intentional killing of a non-murderer  against his will. >>And you responded to this by asking whether or not the execution of an >>innocent person under our system of capital punishment was a murder or not. >>I fail to see what this has to do with anything.  I never claimed that our >>system of morality was an objective one. >I thought that was your very first claim.   That there was >some kind of  objective  morality  and that an example of that was >that murder is wrong.   If you don t want to claim that any more  >that s fine.  Well  murder violates the golen rule  which is certainly a pillar of most every moral system.  However  I am not assuming that our current system and the manner of its implementation are objectively moral.  I think that it is a very good approximation  but we can t be perfect.  >And by the way  you don t seem to understand the difference between > arbitrary  and  objective .   If Keith Schneider  defines  murder >to be this that and the other  that s arbitrary.   Jon Livesey may >still say  Well  according to my personal system of morality  all >killing of humans against their will is murder  and wrong  and what >the legal definition of murder may be in the USA  Kuweit  Saudi >Arabia  or the PRC may be matters not a whit to me .  Well   objective  would assume a system based on clear and fundamental concepts  while  arbitary  implies no clear line of reasoning.  keith
religion, [...] > (And does anyone know who originally wrote this list?)  The copy on the mail-server@mantis.co.uk has the full list of credits.  It looks like you got an incomplete version.   mathew
religion," [...Dr. England s story deleted  it was a nice read the first time  through...]]  >now lead the Church.  I  for one  do not wish to be labelled  Christian   if  >those who profess themselves as Christians attack my beliefs because they are  >intollerent (for example) of the way my religion may interpret Biblical  >scriptures of the same source to have a different meaning and implication  >than mainstream Christianity would give it.   	It isn t so much a matter of  interpretation  of Bible texts  that sets Mormonism apart from orthodoxy as it is a matter of  *fabrication*.  	About 20 years ago  _National Lampoon_ had some comic strips  in them that were drawn by Neal Adams. They were called  Son o  God  comics.  It was a parody of the Jesus in the Bible. In the comic  there were a  group of thirteen Jewish kids from Brooklyn  and when one of them said  the magic word  he turned into  Son o  God.  He went from a myopic   curly headed  yarmulke wearing boy to a replica of the stylizied  portraits of Jesus --- with long flowing brown hair and gentile  features.	  	Now  if someone were to profess faith in this NatLamp Jesus   and claim that they were a Christian because they believed in this  NatLamp Jesus  we would have to say that this was fallacious since  this Jesus was a fabrication  and did not really exist.  	This is the exact same thing that the LDS do when they claim  that they are Christian. They profess faith in Jesus  but the Jesus  that they profess to have faith in is as much a fabrication as the  NatLamp Jesus was.   ============================= Robert Weiss psyrobtw@ubvms.cc.buffalo.edu"
windows," `In article <1993Apr06.023730.5094@microsoft.com> davidgl@microsoft.com (David Glenn) writes:  	...  	Again  not true. The characters in a TT or Type 1 font depend on the  	maker. If someone converts a Type 1 font to TT they ll only get the 	characters in the font of orgin. TT allows for much more flexibility 	in this area as well. You can have thousands of glyphs in a TT font 	file (Mac/PS/Windows/Unicode char set) and use the characters 	appropriate for the particular platform you are running the font on.  Well  yes  both Type 1 and TrueType fonts can contain lots of characters. And in both cases plain text fonts will be reencoded to Windows ANSI in Windows  and to Mac standard roman encoding on the Mac.  No difference there between T1 and TT!     And as for fonts with thousands of glyphs  right know these are a liabiliaty rather than a great new thing.  Reason is that a font with 3000 characters is very large  and if you can only access 224 of them you are paying a heavy price in downloading time and printer storage.  (And at the moment there is only one program of that uses `partial font downloading )  	For instance  all or our fontpack 2 TT fonts have the Mac/Windows 	char set in them. The metrics of the fonts are such that if the font 	is brought over to the mac the user will have access to the full mac 	char set. 	  Yes and T1 text fonts all have the `ISO Adobe  character set  which is a superset of Windows ANSI and Macintosh standard roman enocding.  The question is whether you can get at the glyphs.  In Windows  for example  you cannot get at the ligatures `fi  anfd `fl  (both T1 and TT)even though a font may very well have them.  ANd  while it is somewhat painful to reencode a Type 1 font and to create a new Windows metric file (PFM) for it  there are utilities out there to allow you do this.  How do I reencode a TrueType font?  How can I get at the `fi  and `fl  ligatures in Windows (or on the Mac)?  Are there utilities that make it possible to circumvent the hard-wired Windows ANSI encoding?      > Regards                                             1001-A East Harmony Road    > Bob Niland                                          Suite 503    > Internet:  rjn@csn.org                              Fort Collins CO 80525    > CompuServe: 71044 2124                              (303) 223-5209   Berthold K.P. Horn Cambridge  Massachusetts  USA"
windows, |>  |>  |>  |> With my limited knowladge about the PC Geos  I came out with following  |> comparison: |>  |>                  PC Geos      Windows       OS/2    Unix/X11 |>                 ________      _______       ____    _______ |>  |> 1. Can run dos |>    programs        yes           yes         yes     yes(needed add.) |>   [lines deleted]  |>  |> 7. price          $120          $70         $120     free-$1000s |>                                                      A good one |>                                                      costs $400-$700  |>                                                      avaliable on Ext. |>                                                      card too. |>  |> 8. C compiler Don t think so    yap          yap     yap |>  |> 9. C++           no             Yap          Yap     Yap |>  |> 10. Fortran      no             yap          yap     yap |>  |> 11. debuger      ?              yap           yap    yap |>  |> 12. min to run   dos        2M & 10Mb-Hard     ?     386 |>  |> You guys and gals add to this list  so we do not throw our many down the  |> tubes. |>  |>                       With highest regards  |>                            Babak   Sehari. |>   This list appears to imply  that MS-windows that has a cost listed above at $70  comes with a C compiler  C++ and Fortran. It does not  of course. These are expensive add-ons that drive the price WAY beyond $70. ( I don t know if the same applies to OS/2 )  As far as unix is concerned  There is a free unix  linux  that has cc  ~c++  fortran ( f2c )  Xwindows and many other features besides  with a large number of utilities that can be optionally added. And there is also a free 386BSD I believe. Both these unix s are quite robust. You can check out comp.os.linux  If you don t want to  throw our many down the tubes   you ve got to break that list down a little more.  --  Roderick Campbell Department of Physics Memorial University of Newfoundland St. John s  NF  CANADA internet: rcampbel@weejordy.physics.mun.ca
forsale," |>  |> >Recently I bought a musical instrument through the internet and had |> >it shipped to me via UPS ground. The shipping was done through a |> >mail box service  Mailboxes  Etc.  Being somewhat surprised at the |> >price  I compared prices of shipping this way to shipping directly |> >through UPS and this is a summary.  I am not making any endorsements |> >or condemnations but merely presenting the facts from which you may |> >draw your own conclusions. |> > |>  |> I ve encountered the same thing with Mailboxes  Etc. and I suggest |> anyone to use the original UPS service if at all possible. Shipping |> to Virginia from Cleveland was around $20 for 12 pounds  and C.O.D. |> was $8.00  as opposed to $4.50 for UPS.  I ll third the opinion about this outfit/franchise. Now  when I buy over the net and pick up the shipping costs  I ll specify that I only pick up the normal UPS charges (as if delivered directly to UPS)  as I ve been burned by $10 shipping charges for a $2.49 pkg. I will never use a mailing service unless I don t have the right box and the buyer needs whatever IMMEDIATELY. I ll also tell the person  if they agreed to pick up shipping  what is going on.  Other things to watch out for/consider:  	The rates are $5 to $30 higher than UPS direct.  	For a non-UPS (truck) package  they quoted a rate 	of $85. Fed Ex economy air was only $85 for the 	same weight! RPS (a trucking package company  in many 	cities) only wanted $18. Guess who got it. The Mailbox 	operator told me I was not telling the truth about 	competitors  rates  said RPS was unreliable (I ve used them 	before with NO problems)  etc. Right.  	A COD check goes to the mailing service. Our local 	Mailbox then takes its sweet time mailing me the 	remade check. All this for an additional $3.00 over the 	UPS COD charge. What a deal.... :-)  	For packages over $100  they charge you about double over 	what UPS charges them for insurance. I ve never had 	a claim  but other netters (is Ralph Seguin out there?) 	have told horror stories about them...  	All package traces have to be done through Mailbox by 	Mailbox.  	Our local Mailbox operator told me I was lying when I 	asked him why their rates were stratospheric compared 	to direct UPS. Does he ever check? Probably not...  	Their UPS ground rates come close to Fed Ex s economy 	air rate  and Fed Ex will pick up!  	UPS will pick up for a $5 charge in most areas! 	 --  --------------------------------------------------------------------        Dave Medin			Phone:	(205) 730-3169 (w)     SSD--Networking				(205) 837-1174 (h)     Intergraph Corp.        M/S GD3004 		Internet: dtmedin@catbyte.b30.ingr.com   Huntsville  AL 35894		UUCP:  ...uunet!ingr!b30!catbyte!dtmedin     ******* Everywhere You Look (at least around my office) *******   * The opinions expressed here are mine (or those of my machine)"
atheism, |>  |> That s your mistake.  It would be better for the children if the mother |> raised the child. |>  |> One thing that relates is among Navy men that get tatoos that say  Mom   |> because of the love of their mom.  It makes for more virile men. |> Compare that with how homos are raised.  Do a study and you will get my |> point. |>  |> But in no way do you have a claim that it would be better if the men |> stayed home and raised the child.  That is something false made up by |> feminists that seek a status above men.  You do not recognize the fact |> that men and women have natural differences.  Not just physically  but |> mentally also. |>   Bobby  there s a question here that I just HAVE to ask. If all of your posts aren t some sort of extended  elaborate hoax  why are you trying so hard to convince the entire civilised world that you re feeble minded? You have a talent for saying the most absurd things. Here s a little sign for you  print it  cut it out and put it on top of your computer/terminal.                ENGAGE BRAIN PRIOR TO OPERATING KEYBOARD   (Having said all that  I must admit we all get a laugh from your stuff.)     --   |  Graham Jenkins          |  graham.jenkins@its.csiro.au           |  |  CSIRO                   |  (Commonwealth Scientific & Industrial |  |  Canberra   AUSTRALIA    |  Research Organisation)                |
windows, |> $20.00 but I have no idea what the new version has. |>   I got the offer to upgrade this weekend. It s $19 + $8.50 shipping and handling. The S+H seem way too steep for just a couple of disks. Sounds like ripoff city. Can this purchased at vendors?  --   ====================== Bill Volz Chevron Petroleum Technology Co. Earth Model/Interpretation & Analysis Division. P.O. Box 446  La Habra  CA 90633-0446 Phone: (310) 694-9340 Fax: (310) 694-7063
atheism, |> [1] HOWEVER  I hate economic terrorism and political correctness |> worse than I hate this policy.     |> [2] A more effective approach is to stop donating |> to ANY organizating that directly or indirectly supports gay rights issues |> until they end the boycott on funding of scouts.    Can somebody reconcile the apparent contradiction between [1] and [2]?  --  Rob Strom  strom@watson.ibm.com  (914) 784-7641 IBM Research  30 Saw Mill River Road  P.O. Box 704  Yorktown Heights  NY  10598
windows," |> >Yes  and it is the fastest defrag I ve ever watched.  It did a 170MB  |> >hard disk in 20 minutes. |>  |> 	I found the MS defrag looks very much like Norton Speedisk. |> Is it just a strip-down version of the later? |>  |> 	I have both Norton Speedisk and Backup  so I was wondering  |> if I need to install MS Backup? |>  |> Richard |>   Yes  defragger IS come from Norton. If you have Norton Utility  don t bother."
forsale, |> Is anybody awake out there?  When someone posted a message telling people to |> stop posting computer ads to the misc.forsale group  he got about thirty |> response here  not to mention the rash of E-Mail I m sure he received.  Yet  |> another person posts a message with the subject line  blow me  and an even  |> worse text  and only 3 or 4 people have the guts to say anything.  The majority  Not to mention the thread about selling someone s wife. I am a guy  therefore not overly bummed by it  but a little common sense would dictate that this is offensive to many women  and not really necessary.  --  ---------------------------------------------------------------------- Scott Ferguson                        Exxon Research & Engineering Co. Project Engineer                      New Jersey ---------------------------------------------------------------------- All opinions  not official view of Exxon.  I must ask the question...are we going to play Stonehenge tonight? 
religion, }: Actually  cannibalism is quite widespread.  My favorite examples are sand }: sharks and mackerel sharks.  The fetuses begin cannibalizing each other  and }: the one that is eventually born enters the sea with a full stomache.  Would }: you like some more gruesome examples? } }Fair enough - I m pretty well aware of the examples used - and mine were very }rapidly and thoughtlessly pulled out of thin air  but the point I m making is }that our non-cannibalism doesn t imply any `value  over other animals.  Did something happen while I wasn t looking?  When did _Homo sapiens_ become non-cannibalistic?  -- Herb Huston -- huston@access.digex.com
windows, =>Xwindows and many other features besides  with a large number of utilities =>that can be optionally added. And there is also a free 386BSD I believe. =>Both these unix s are quite robust. You can check out comp.os.linux  i dunno about linux  but for 386bsd  don t forget networking (well tested  at that)  NFS  a fast  incredibly stable filesystem  and the list goes on...  8-)  for us 386bsd folk  look in comp.os.386bsd.*.     chris moderator of comp.os.386bsd.announce  anti-politician  and sometime evangelist -- Chris G. Demetriou                                    cgd@cs.berkeley.edu      386bsd as depth first search: whenever you go to fix something you        find that 3 more things are actually broken.  -- Adam Glass
forsale," >                     *Macintosh or IBM compatible!* >  >	   Never pay the high cost of copy service again. We will completely >develop and format your custom resume package and mail you the disk or > [blah blah blah deleted]  Who s  We ?  Carnegie Mellon? "
religion, >    be a very convenient religion  very maliable and suitable for >    any occassion since it seems one can take it any way one wants >    to go with it and follow whichever bits one pleases and >    reinterpret the bits that don t match with one s desires.  It >    is  in fact  so convenient that  were I capable of believing >    in a god  I might consider going for some brand of Christianity. >    The only difficulty left then  of course  is picking which sect >    to join.  There are just so many. >      >    Dean Kaflowitz >  > Yes  Christianity is convenient.  Following the teachings of Jesus > Christ and the Ten Commandments is convenient.  Trying to love in a > hateful world is convenient.  Turning the other cheek is convenient.  So > convenient that it is burdensome at times. >  > Dave.  Some Christians take a 10% discount off the Ten Commandments.  Sunday cannot be substituted for the Sabbath. 
religion, >    be a very convenient religion  very maliable and suitable for >    any occassion since it seems one can take it any way one wants >    to go with it and follow whichever bits one pleases and >    reinterpret the bits that don t match with one s desires.  It >    is  in fact  so convenient that  were I capable of believing >    in a god  I might consider going for some brand of Christianity. >    The only difficulty left then  of course  is picking which sect >    to join.  There are just so many. >  > Yes  Christianity is convenient.  Following the teachings of Jesus > Christ and the Ten Commandments is convenient.  Trying to love in a > hateful world is convenient.  Turning the other cheek is convenient.  So > convenient that it is burdensome at times.  Your last remark is a contradiction  but I ll let that pass.  I was addressing the notion of the Great Commission  which you deleted in order to provide us with dull little homilies. Thank you  Bing Crosby.  Now you go right on back to sleep and mommy and daddy will tuck you in later.  Oh  and how convenient his bible must have been to Michael Griffin  how convenient his Christianity.   Well  I ll just skip the bit about not murdering people and loving the sinner and hating the sin and all that other stuff for now and concentrate on the part where it says that if someone is doing something wrong  you should shoot him in the back several times as he tries to hobble away on his crutches.   I ll leave the  convert or die  program of the missionaries and their military escorts in the Americas for Nadja to explain as she knows much more about it than I.  Must be awfully convenient  by the way  to offer platitudes as you have done  David  rather than addressing the arguments.  Dean Kaflowitz 
atheism, >    I answer from the position that we would indeed place these people   in prison for life.    That depends not only on their predisposition towards murder  but   also in their success rate at escape and therefore their ability   to commit the same crimes again.    In other words  if lifetime imprisonment doesn t work  perhaps   it s not because we re not executing these people  but because   we re not being careful enough about how we lock them up.  /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\   Bob Beauchaine bobbe@vice.ICO.TEK.COM   They said that Queens could stay  they blew the Bronx away  and sank Manhattan out at sea.  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
windows, >    received was the disk  no docs.    Maybe it milks the dogcow? 9-)   >2.  I am running Windows in 1024x768x256 mode using a driver that was supplied  >    with my SVGA card.  The card is a BOCA SVGA card with 1Meg RAM  and I think  >    it has an ET4000 chip in it (at least thats what some program tells me).  >    The driver is an old driver that was written for Windows 3.1  it seems to  >    work fine  but would I gain any benefits by switching to a newer driver?  If >    so which one should I use and where could I find it?   Lots of drivers are available off ftp.cica.indiana.edu in pub/pc/win3/ drivers/video. I ve tried two: et4cview.zip and et4turbo.zip. These give you a choice of turbo and non-turbo drivers. The turbo drivers were FAST but caused mouse problems with my machine (which has a Diamond Speedstar card). I finally got turbo drivers (wndSpeed by Binar) from Diamond. Amazing. Blazingly fast (for a non-accelerated card) and best of all - no GPF s for a month or so...    --  ------------------------------------------------------------------------------- Iskandar Taib                          | The only thing worse than Peach ala Internet: NTAIB@SILVER.UCS.INDIANA.EDU |    Frog is Frog ala Peach Bitnet:   NTAIB@IUBACS                 !
atheism, >  > ... over on alt.atheism we tend to recognise two > categories of atheism. Function format due to mathew@mantis.co.uk  I   think: >  > (i) weak  -  not(believe(gods)) >  > (ii) strong  -  believe(not(gods)) >  [deleted] >  >  >  > I ... am [a strong atheist]  and I must quibble with your assertion  > that the `strong  position requires faith. I believe that no god/s   > as commonly described by theists  exist. This belief is merely an                                             ^^^^^^^^^^^^^^^^^^^^^^^^ > opinion  formed on the basis of observation  including a certain    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > amount of introspection.   ^^^^^^^^^^^^^^^^^^^^^^^ >  > I fully accept that I could be wrong  and will be swayed by suitably > convincing evidence. Thus while I believe that no gods exist  this does                        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ > not imply *faith* on my part that it is so.   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^  Let me first say that  to believe that no gods exist  is in fact  different than  not believing in a god or gods .   I will argue that your latter statement   I believe that no gods exist  does rest upon faith - that is  if you are making a POSITIVE statement  that  no gods exist  (strong atheism) rather than merely saying I don t   know and therefore don t believe in them and don t NOT believe in then (weak atheism). Once again  to not believe in God is different than saying   I BELIEVE that God does not exist. I still maintain the position  even  after reading the FAQs  that strong atheism requires faith.  But first let me say the following. We might have a language problem here - in regards to  faith  and  existence . I  as a Christian  maintain that God does not exist. To exist means to have being in space and time. God does not HAVE being - God IS Being. Kierkegaard once said that God does not exist  He is eternal. With this said  I feel it s rather pointless to debate the so called  existence  of God - and that is not what I m doing here. I believe that God is the source and ground of being. When you say that  god does not exist   I also accept this statement - but we obviously mean two different things by it. However  in what follows I will use the phrase  the existence of God  in it s  usual sense  - and this is the sense that I think you are using it. I would like a clarification upon what you mean by  the existence of God .   We also might differ upon what it means to have faith. Here is what Webster says:  faith  1a: allegiance to duty or a person: LOYALTY b  (1): fidelity to one s promises    (2): sincerity of intentions 2a (1): belief and trust in and loyalty to God    (2): belief in the traditional doctrines of a religion b  (1): firm belief in something for which there is no proof         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^    (2): complete trust 3: something that is believed esp. with strong conviction  esp: a system     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ of religious beliefs syn see BELIEF    One can never prove that God does or does not exist. When you say that you believe God does not exist  and that this is an opinion  based upon observation   I will have to ask  what observtions are you refering to?  There are NO observations - pro or con - that are valid here in establishing a POSITIVE belief. All observations can only point you in a direction - a direction that we might even be predisposed to (by predisposed I mean  for example  people whoes  partents  believe in God  also tend to). To actually draw a conclusion about the  existence  or  non-existence  of God requires a leap - and you have made this leap when you actively say  I believe that God   does/does not exist . Personally  I think that both statements are misguided. Arguing over the  existence  of God is precisely the wrong way to find Him (and yes  I use  Him  because a personal God is the only  viable concept (IMO) - if a person wants to use  She  go ahead. Of course  God is neither He nor She - but we have no choice but to  anthropomorphise. If you want me to explain myself further I ll be  glad to.)     And please  if someone does not agree with me - even if they violently  disagree - it s in no ones advantage to start name calling. If a person  thinks I ve misunderstood something in the FAQs  or if they they think  I have not read them well enough  just point out to me the error of my  ways and I correct the situation. I m interested in a polite and well   thought out discussion.         > Cheers >  > Simon > --  > Simon Clippingdale                simon@dcs.warwick.ac.uk > Department of Computer Science    Tel (+44) 203 523296 > University of Warwick             FAX (+44) 203 525714 > Coventry CV4 7AL  U.K.  -- bob singleton bobs@thnext.mit.edu
windows, >  > : I ve just bought a PC which came with a bundle of Lotus stuff  including > : Adobe Type Manager version 1.15. As a newcomer to Windows  I m > : confused about which I should be using  ATM or Truetype.  >  > If you are going to stay with ATM  be sure to upgrade to 2.5  which > replaces 2.0. Who knows how old 1.15 is.  2.5 is as fast as TT  and if > you disable the small screen fonts  ATM does better screen rendering at > the smaller point sizes.  Not true! Both Type 1 and TT fonts can be of excellent quality and poor quality at any size. It all depends on the font s maker and the complexity of the glyphs related to the size and resolution at which they are viewed. Probably the reason for your opinion/experience that TT is inferior is because most TT fonts on the market today have been converted from Type 1 outlines to TT either by the font vendor or end-users using Fontographer or FontMonger instead of the TT fonts being hand-hinted to take advantage of the TT hinting language. At best these converted TT fonts will be on a par with the Type 1 font of its orgin.  TrueType is a much richer and more robust hinting language than Type 1 (the hinting of diagonals for instance  which TT does and Type 1 cannot). If you check out the Windows 3.1 core fonts (Times  Arial  Courier  Symbol  Wingdings) you ll see what can be done with TT. There are other fonts out there that have been hand-hinted and not just converted. Some of the Microsoft TT Font Pack 2 fonts are hinted very well.  > You can use both TT and ATM fonts at the same time  if you like. > ATM (Type 1) fonts tend to be of higher quality > and be more complete in terms of foreign characters.  Again  not true. The characters in a TT or Type 1 font depend on the maker. If someone converts a Type 1 font to TT they ll only get the characters in the font of orgin. TT allows for much more flexibility in this area as well. You can have thousands of glyphs in a TT font file (Mac/PS/Windows/Unicode char set) and use the characters appropriate for the particular platform you are running the font on. For instance  all or our fontpack 2 TT fonts have the Mac/Windows char set in them. The metrics of the fonts are such that if the font is brought over to the mac the user will have access to the full mac char set.   > Regards                                             1001-A East Harmony Road > Bob Niland                                          Suite 503 > Internet:  rjn@csn.org                              Fort Collins CO 80525 > CompuServe: 71044 2124                              (303) 223-5209  Hope this clears up some of the confusion. Feel free to contact me if anyone would like more info.  Regards   Dave Glenn Program Manager  Microsoft TT font stuff davidgl@microsoft.com compuserve: 72420 1067
forsale," >  > I m looking to *buy* the following items: >  > Fax machine: a plain one  don t need any extras  just the basic model. Good > 	working order only. These sell in stores for dirt cheap  so don t > 	make me any offers like  it cost me $599 but I ll sell it for $400  >  > PC-AT Hard Drive: MFM type  40 Mbytes  half-height only. I have a Seagate > 	ST-151 (3.5 ) on my machine  looking for same or similar type >  >  > I have the following item for *sale*: >  > Electronic Typewriter: Panasonic  with 22K memory  small LCD display. I m > 	selling it bundled with a Panasonic computer interface for this > 	typewriter. You can connect it to any PC parallel port (sorry  no > 	cable). It works perfect  even in Windows (TTY printer). It s > 	great if you need to send letter with  typewriter look . In > 	stand-alone mode it has 3 pitches  and several  effects  like > 	underline  bold  overstrike. Built-in dictionary and character/word/ > 	line correction. Asking $150 for both the typewriter and the > 	interface >  > ------------------------------------------------------------------------------- > Jorge Lach			Sun Microsystems Computer Corporation > Jorge.Lach@East.Sun.Com		East Coast Division  Chelmsford  MA > ------------------------------------------------------------------------------- > "
windows," >  >	ahh  yes  this is a fun topic.  No  once the name is incribed on the >disk  that is it  it is encoded.  Not even a HEX editor will find it.  You can >write over the  Licensed to:   but you can t change the name underneth it.  I  I can find it with a HEX editor  although I have not tried to overwrite it. Are you sure it can t be?  You may be mistaken about this. (???)  Rob  rmohns@vax.clarku.edu"
windows," >  >2)  This past weekend  a local  hacker  radio show metioned a new product >    from Microsoft called  Chicago  if I recall.  Anyone know what this is? >  >That is it - >  >Thanks a heap. >  >- Alan  Windows NT is a giant Windows Operating System.  Unline Win3.1  it does not  run on top of DOS.  It is its own OS  with (Billy Gates assures us) true  multi-tasking/multithreading  meets DOD security specs  will run win3.1  programs as well as DOS programs  has multi-processor support  and is primarily a Server program.  It s overhead is too high for it to be economical for most users. 	Speaking of overhead  it requires at least a 386 with 16 megs of RAM.   It iwll run with 12  but that s like running OS/2 2.0 with 4 megs.  And that s  just to run it.  Also  I have heard that the system files take up 30-50 Megs   and it is recommended that your drive be a half gig!  The SKD is distributed  on CD-ROM.  Chicogo is what I want to use.  It is  like NT  a true OS with thrue  multitasking and multithreading  but has much smaller hardware requirements   and does not meet DOD security specs (but that s okay since it will probably  be more of a client OS).  there are a few otehr differences  but those are the  main ones.  There was an article about Chicogo in PC Week last August. 	The Chicogo and NT development groups at Micro$oft are in intense  competition  so it is said.  However  I think a different relationship will  arise: NT will be the server (*N*etowrk *T*echonology)  Chicogo will be the  client machine.  It is entirely possible for different OS s to work together   partly because Chicogo is just a small NT (think of it that way  anyway).   (Novell Netware creates an OS on the server that is truly not DOS  so don t scorn the concept.) 	Anyway  don t expect it soon.  Windows 4 and DOS 7 are supposed to be  released next year (read: see it in 95)  so I expect that Chicogo won t be out  til  96. 	With luck  I ll be proven wrong! =)  Rob           |------------------------------------------------------------|                       \       rmohns@vax.clarku.edu       /                _________\                               /________                           \         Rob Mohns         /                ==================================================                     Annoy Rush Limbaugh.  Think for yourself.                =================================================="
atheism, >  And in the US  even that argument doesn t stand.  It costs far >  more to execute a criminal in this country than it does to feed  >  clothe  and shelter them for the remainder of their natural life. >  Some people believe this is a fault of our judicial system.  I >  find it to be one of it s greatest virtues.  I assume that you are talking about the appeals processes  etc.? Well  it should be noted that people who are imprisoned for life will also tend to appeal (though not quite as much in the  final hours.   Anyway  economics is not a very good reason to either favor or oppose the punishment.  keith
religion, > (me) >Because other people might not *want* to be hurt  Hudson.  And hurting >them against their will is a violation of choice.  /(hudson) /So. Why is someone elses will such a big deal if morality is all relative.   I don t believe I ever said that morality was all relative.  What I said was that I can make my mind up on my own  thank you  and that  you don t have the right to tell others what to think.  I think that you will find that in most moral systems  there is  a respect for human life and the dignity of the person.  It is all the stuff besides these points that forms the core of the disagreement between  primitive moral absolutists like yourself and the rest of us.    /(hudson) /Maybe (the insane lover of pain might reason) if other people experienced /enough pain  they might learn to enjoy it  too.    Fine.  There is still the clinical definition of crazy.  And this also involves a violation of free will  because the insane lover of your little example would be inflicting pain on a non-willing subject.  Try again.     (hudson) >/You have to have other premises to derive this.   > (me) >No  you don t.  That is a patently false statement.  /(hudson) /You have to have some sort of premise about choice or self-awareness.   No  you do not.  I demonstrated to you the example of the football team which doesn t require premises about freedom of choice or  sentience/self-awareness.    As I said  you are wrong  and you don t seem to know much about moral  systems.  If I were you  I would take David Bold s suggestion and do some  reading on the subject before you try preaching about it.  
atheism, > (TM) viewpoint though.  For all we know  the prophet s cousin and > the Fourth Khalif Hazret-i Ali may have said this after a  > frustrating night with a woman.  That s very interesting.    I wonder  are women s reactions recorded after a frustrating night with a man?   Is that considered to be important?  jon.
atheism, > :> Therefore  Jesus is eternal.  [C = B] >  > :> This works both logically and mathematically.  God is of the set of > :> things which are eternal.  Jesus is a subset of God.   Therefore > :> Jesus belongs to the set of things which are eternal. >  > Everything isn t always so logical.... >  > Mercedes is a car. > That girl is Mercedes. > Therefore  that girl is a car?  Unfortunately your phrasing is ambiguous.  Re-writing more carefully  we have (at least) two possibilities.  The first:  Things called  Mercedes  are cars That girl is called  Mercedes  Therefore that girl is a car  That is entirely valid as a piece of logical deduction.  It is not sound  because the first statement is false.  Similarly  I would hold that Jim s example is valid but not sound.  Another possible interpretation of what you wrote is:  There exists at least one car called  Mercedes  That girl is called  Mercedes  Therefore that girl is a car  -- which isn t valid.   mathew
religion, > >    Not to be too snide about it  but I think this Christianity must > >    be a very convenient religion  very maliable and suitable for > >    any occassion since it seems one can take it any way one wants > >    to go with it and follow whichever bits one pleases and > >    reinterpret the bits that don t match with one s desires.  It > >    is  in fact  so convenient that  were I capable of believing > >    in a god  I might consider going for some brand of Christianity. > >    The only difficulty left then  of course  is picking which sect > >    to join.  There are just so many. > >      > >    Dean Kaflowitz > >  > > Yes  Christianity is convenient.  Following the teachings of Jesus > > Christ and the Ten Commandments is convenient.  Trying to love in a > > hateful world is convenient.  Turning the other cheek is convenient.  So > > convenient that it is burdensome at times. >  > Some Christians take a 10% discount off the Ten Commandments.  Sunday > cannot be substituted for the Sabbath.   Make that 20%.  Where did I see that poll recently about the very religious and adultery?  Was it this newsgroup or alt.atheism or some other place?  Dean Kaflowitz 
atheism, > > >     Recently  RAs have been ordered (and none have resisted or cared about >it apparently) to post a religious flyer entitled _The Soul Scroll: Thoughts >on religion  spirituality  and matters of the soul_ on the inside of bathroom >stall doors. (at my school  the University of New Hampshire) It is some sort >of newsletter assembled by a Hall Director somewhere on campus. [most of post deleted] > >  Please respond as soon as possible. I d like these religious postings to >stop  NOW!  > >   >Thanks  > >  Dana > >        >         There is an easy way out.... Post the flyers on the stall doors  but add at the bottom  in nice large capitals         EMERGENCY TOILET PAPER  :)  --  ------              Robert Mellish  FOG  IC  UK                  ------  Email: r.mellish@ic.ac.uk   Net: rm03@sg1.cc.ic.ac.uk    IRC:  HobNob ------     and also the mrs joyful prize for rafia work.         ------
